Lines,Lon,VehicleNumber,Time,Lat,Brigade
190,21.064373,3419,2024-01-25 13:14:35,52.2734316,12
509,21.10237,3420,2024-01-25 13:14:31,52.2219001,3
509,21.0486913,3421,2024-01-25 13:14:38,52.2646698,013
162,21.0850466,3423,2024-01-25 13:14:34,52.1932821,6
500,20.9821033,3424,2024-01-25 13:14:30,52.253234,5
245,21.047713,3425,2024-01-25 10:15:31,52.264553,05
520,21.136582,3427,2024-01-25 13:14:31,52.241148,5
190,21.0327111,3428,2024-01-25 13:14:33,52.2538113,5
512,21.0370218,3429,2024-01-25 13:14:33,52.2524126,4
120,21.0474985,3430,2024-01-25 13:14:33,52.3296355,5
190,21.0290726,3432,2024-01-25 13:14:34,52.2523558,8
132,20.9687006,3433,2024-01-25 13:14:34,52.2719825,4
199,21.046673,3434,2024-01-25 13:14:35,52.292259,3
340,21.0467131,3435,2024-01-25 11:41:59,52.2648468,01
738,21.1111181,3437,2024-01-25 13:14:35,52.3303603,4
500,21.0416423,3438,2024-01-25 13:14:33,52.300331,2
145,21.1344848,3439,2024-01-25 13:14:32,52.2440141,10
509,21.0472315,3440,2024-01-25 08:16:43,52.2646808,016
527,21.047663,3442,2024-01-25 13:14:32,52.2645543,011
190,20.925911,3443,2024-01-25 13:14:36,52.234001,3
705,21.058586,3444,2024-01-25 13:14:29,52.448104,64
723,20.963993,3445,2024-01-25 13:14:30,52.332998,470
140,21.0468559,3446,2024-01-25 09:25:09,52.2648772,06
511,20.9622556,3447,2024-01-25 13:14:31,52.3116062,1
190,20.9797355,3448,2024-01-25 13:14:36,52.2372718,1
132,21.0467395,3449,2024-01-25 13:14:32,52.264683,05
112,20.984641,3450,2024-01-25 13:14:20,52.282613,3
240,21.104199,3451,2024-01-25 13:14:27,52.321946,3
509,21.047311,3452,2024-01-25 09:10:22,52.2646081,018
245,21.1312198,3453,2024-01-25 13:14:31,52.2804341,4
509,21.0385106,3454,2024-01-25 13:14:33,52.2517558,1
140,21.0478631,3455,2024-01-25 08:44:48,52.2645038,08
735,21.0301703,3456,2024-01-25 13:14:21,52.3323303,66
138,21.0148775,3457,2024-01-25 13:14:31,52.2043035,8
512,21.0634261,3458,2024-01-25 13:14:35,52.2862575,5
138,20.9953296,3459,2024-01-25 13:14:35,52.170234,6
112,20.9248305,3461,2024-01-25 13:14:33,52.2607268,6
145,21.0004133,3462,2024-01-25 13:14:34,52.2918548,4
509,21.0461491,3463,2024-01-25 09:35:01,52.2649006,019
723,20.9511813,3464,2024-01-25 13:14:34,52.3439028,475
138,21.0883658,3465,2024-01-25 13:14:31,52.2606899,1
511,20.967692,3466,2024-01-25 08:15:56,52.270265,07
509,21.0467516,3467,2024-01-25 08:23:49,52.2647878,019
140,21.1111366,3468,2024-01-25 13:14:35,52.360851,3
132,21.0672712,3469,2024-01-25 13:14:31,52.3177057,3
L-5,20.8977313,35131,2024-01-25 13:14:34,52.056463,1
L-5,21.0232383,35132,2024-01-25 13:14:34,52.0726571,2
L12,21.0348395,35133,2024-01-25 13:14:34,52.082766,782
