Lines,Lon,VehicleNumber,Time,Lat,Brigade
160,21.0553126,3443,2024-01-30 15:50:58,52.275181,51
705,21.1051436,3444,2024-01-30 15:50:55,52.4797893,64
132,20.9675983,3445,2024-01-30 15:50:57,52.2715366,07
735,21.03325,3446,2024-01-30 15:50:34,52.39252,65
120,21.0464259,3447,2024-01-30 15:50:55,52.2598237,3
340,21.047946,3448,2024-01-30 10:21:18,52.2646813,02
414,20.9568218,3449,2024-01-30 15:50:57,52.2300193,07
160,21.056801,3450,2024-01-30 15:50:50,52.324111,57
102,21.0736306,3451,2024-01-30 15:50:57,52.2519903,09
199,21.0880423,3453,2024-01-30 15:50:58,52.2955548,3
509,21.0481376,3454,2024-01-30 15:50:59,52.2452218,2
414,21.0462111,3455,2024-01-30 10:08:15,52.265087,06
140,21.0814093,3456,2024-01-30 15:50:55,52.294161,07
509,21.094681,3457,2024-01-30 15:50:58,52.2275253,5
500,20.9937911,3458,2024-01-30 15:50:56,52.2574713,5
116,20.9724923,3459,2024-01-30 15:50:59,52.2717545,13
500,21.0370953,3460,2024-01-30 15:50:59,52.2682971,4
190,21.002323,3461,2024-01-30 15:50:58,52.244776,3
190,20.9331628,3462,2024-01-30 15:50:59,52.2341085,017
518,20.9718283,3463,2024-01-30 15:50:59,52.276202,5
731,20.9281123,3464,2024-01-30 15:50:57,52.4227751,480
340,21.0948346,3465,2024-01-30 15:50:55,52.3104676,03
738,21.0529038,3466,2024-01-30 15:50:55,52.2765661,07
500,21.0418723,3467,2024-01-30 15:51:00,52.2924538,1
132,21.0666163,3468,2024-01-30 15:50:57,52.3218506,08
112,20.93946,3469,2024-01-30 15:50:55,52.2778106,8
L-5,21.0090466,35131,2024-01-30 15:50:59,52.0586283,2
L12,20.9574933,35132,2024-01-30 15:50:30,52.0292448,683
L25,21.017633,35133,2024-01-30 15:50:09,52.0672473,02
L-5,21.0348205,35134,2024-01-30 13:33:13,52.083339,2
L-5,20.9862958,35137,2024-01-30 15:50:00,52.0527845,1
L12,21.0294755,35140,2024-01-30 15:50:53,52.0747063,782
L-2,20.9614245,35141,2024-01-30 15:50:59,52.0316896,684
L17,21.0237851,35154,2024-01-30 15:50:56,52.0682608,692
L19,21.0393586,35155,2024-01-30 15:50:58,52.0063636,02
L13,21.0267021,35156,2024-01-30 15:50:57,52.0760431,685
L17,20.9962213,35157,2024-01-30 15:50:59,52.0386833,02
L13,21.082425,35158,2024-01-30 15:50:59,52.0426518,2
L13,21.1548783,35160,2024-01-30 15:50:59,52.0095181,03
197,20.950674,4200,2024-01-30 15:50:58,52.271408,2
197,20.922348,4201,2024-01-30 15:50:53,52.196438,5
122,20.900671,4202,2024-01-30 15:50:59,52.239174,7
255,20.9366,4203,2024-01-30 15:50:57,52.22353,2
255,20.945797,4204,2024-01-30 15:50:58,52.224941,3
122,20.923964,4206,2024-01-30 15:50:58,52.252205,679
122,20.940929,4207,2024-01-30 15:50:59,52.269653,4
178,20.916294,4208,2024-01-30 15:50:57,52.205517,010
154,20.980797,4209,2024-01-30 15:50:55,52.189972,4
714,20.807419,4210,2024-01-30 15:50:58,52.273746,3
207,20.892508,4211,2024-01-30 15:51:00,52.193233,4
249,20.908007,4213,2024-01-30 15:51:00,52.228355,676
197,20.930502,4214,2024-01-30 15:50:59,52.224976,4
178,21.017571,4215,2024-01-30 15:50:58,52.237011,3
129,20.9152235,4216,2024-01-30 15:50:58,52.2034596,3
154,20.981421,4217,2024-01-30 15:51:00,52.19096,05
714,20.885162,4218,2024-01-30 15:51:00,52.24147,2
249,20.914248,4219,2024-01-30 15:50:57,52.235256,2
249,20.940285,4220,2024-01-30 15:50:56,52.246613,678
178,20.9339859,4221,2024-01-30 15:50:59,52.2018272,7
154,20.972006,4223,2024-01-30 15:50:56,52.206142,1
207,20.8929147,4224,2024-01-30 15:50:59,52.2003127,06
207,20.883274,4227,2024-01-30 15:50:58,52.191734,2
122,20.971224,4228,2024-01-30 15:50:56,52.263874,015
154,20.9654332,4229,2024-01-30 15:50:52,52.2176429,06
197,20.939877,4231,2024-01-30 15:50:58,52.246624,5
178,20.938742,4232,2024-01-30 15:50:57,52.202785,4
154,20.975956,4233,2024-01-30 15:50:57,52.210232,2
129,20.946377,4234,2024-01-30 15:50:58,52.246937,4
207,20.898281,4235,2024-01-30 15:50:55,52.188686,05
178,20.906012,4236,2024-01-30 15:50:59,52.188965,6
154,20.951218,4238,2024-01-30 15:50:56,52.182724,3
197,20.937864,4239,2024-01-30 15:50:55,52.251335,09
178,21.008522,4240,2024-01-30 15:50:56,52.247612,2
122,20.961332,4242,2024-01-30 15:50:57,52.259098,011
255,20.981695,4243,2024-01-30 15:50:56,52.229885,1
178,20.968258,4244,2024-01-30 15:50:58,52.22876,011
149,20.897371,4245,2024-01-30 15:51:00,52.245163,04
122,20.981979,4246,2024-01-30 15:51:00,52.282642,2
129,20.9261492,4247,2024-01-30 15:51:00,52.232088,1
129,20.882851,4248,2024-01-30 15:50:56,52.194714,2
146,21.0598025,4300,2024-01-30 15:50:59,52.2239807,09
146,21.117283,4301,2024-01-30 12:06:29,52.234083,08
173,21.116388,4302,2024-01-30 15:50:59,52.234906,011
168,21.1172213,4303,2024-01-30 10:11:19,52.2342248,09
319,21.0389064,4304,2024-01-30 15:50:59,52.1413344,07
319,21.1669534,4305,2024-01-30 15:50:58,52.1721134,09
183,21.1906709,4306,2024-01-30 15:51:00,52.2422025,1
173,21.2179846,4307,2024-01-30 15:50:59,52.2161411,1
173,21.0743035,4308,2024-01-30 15:50:59,52.2510132,7
147,21.0905862,4309,2024-01-30 15:50:59,52.2198149,5
183,21.1091828,4310,2024-01-30 15:50:58,52.2407421,3
319,21.196361,4311,2024-01-30 15:51:00,52.2080524,02
147,21.2235707,4312,2024-01-30 15:51:00,52.2176814,2
173,21.1440847,4314,2024-01-30 15:51:00,52.2375992,012
173,21.2558142,4315,2024-01-30 15:51:00,52.2489287,3
146,21.0415586,4316,2024-01-30 15:51:00,52.2399395,07
